consent,focus_duration_single_task,main_distractions_multi,tired_even_without_hard_work,frustration_cant_stay_focused,busy_all_day_accomplish_little,behaviour_alignment,values_alignment_focus_effect,distraction_strategies_multi,focus_improvement_change_open,lose_focus_feeling_one_word,age_group,gender,work_status,country,values_top3_confidence,values_top3_open_1,values_top3_open_2,values_top3_open_3
yes,more_than_30_minutes,email_messaging_apps;smartphone_notifications;social_media_scrolling,often,often,often,somewhat_misaligned,much_more_focused_energized,silencing_notifications;taking_breaks_exercise,Be able to not go on my phone and focus on one task,Frustrated,age_25_34,woman,employed_full_time,uk,somewhat,honesty,integrity,
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks,rarely,sometimes,rarely,neutral,somewhat_more_focused,aligning_tasks_with_priorities_values;scheduling_focus_time_timers;silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,meditating or having a brief pause / reflection before focusing,agitated,age_35_44,man,employed_full_time,uk,not_really,family,,
yes,more_than_30_minutes,smartphone_notifications;social_media_scrolling,sometimes,sometimes,rarely,neutral,no_difference,silencing_notifications;taking_breaks_exercise,Having a job I truly enjoyed,Frustrated,age_25_34,man,employed_full_time,uk,not_really,honesty,integrity,family
yes,more_than_30_minutes,email_messaging_apps;multitasking_switching_tasks;smartphone_notifications,often,sometimes,rarely,somewhat_aligned,much_more_focused_energized,working_in_quiet_spaces,Priorotise what needs to be done rather than trying to do all of it as quickly as possible.,Disheartened,age_35_44,woman,employed_full_time,uk,somewhat,fairness,honesty,
yes,more_than_30_minutes,background_noise_environment;internal_thoughts_worries;social_media_scrolling,sometimes,often,sometimes,somewhat_aligned,much_more_focused_energized,aligning_tasks_with_priorities_values;taking_breaks_exercise;working_in_quiet_spaces,Not spend so much time distracted by gadgets.,Frustrated,age_45_54,woman,other,uk,somewhat,,,
yes,11_20_minutes,background_noise_environment;smartphone_notifications;social_media_scrolling,sometimes,sometimes,often,neutral,no_difference,silencing_notifications;taking_breaks_exercise,Being able to work in a quieter area.,Stress,age_25_34,woman,employed_full_time,uk,somewhat,kindness_compassion,,
yes,11_20_minutes,colleagues_family_friends;multitasking_switching_tasks,sometimes,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise,Close the door to my home office more often,Frustrated,age_45_54,man,employed_part_time,uk,somewhat,hard_work_diligence,integrity,
yes,21_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,often,often,not_aligned_at_all,somewhat_more_focused,scheduling_focus_time_timers;silencing_notifications;working_in_quiet_spaces,To not feel so guilty when i don't achieve a planned task,guilty,age_35_44,woman,employed_full_time,uk,not_really,kindness_compassion,,
yes,21_30_minutes,colleagues_family_friends;smartphone_notifications;social_media_scrolling,sometimes,sometimes,sometimes,somewhat_aligned,somewhat_more_focused,silencing_notifications;taking_breaks_exercise;working_in_quiet_spaces,I would use my phone less,Disapointed,age_18_24,woman,employed_full_time,uk,not_really,kindness_compassion,kindness_compassion,loyalty
yes,11_20_minutes,email_messaging_apps;multitasking_switching_tasks;social_media_scrolling,rarely,sometimes,rarely,somewhat_aligned,somewhat_more_focused,taking_breaks_exercise,"Probably be to close certain windows, such as emails and browser games",Untroubled,age_45_54,man,self_employed,uk,not_really,,honesty,
